Unique ID,Tittle ,Category,Source,Owner,Status
1,Plate Tectonics,Plate Tectonics Theory,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Needs Editing
2,Structure of the Earth,Plate Tectonics Theory,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Done
3,Types of Plate Boundaries,What produces the movement?,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Done
4,Driving forces of plate motion,What produces the movement?,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Done
5,Driving forces related to mantle dynamics,What produces the movement?,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Needs Editing
6,Driving forces related to gravity,What produces the movement?,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Done
7,Driving forces related to Earth rotation,What produces the movement?,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Done
8,Development of the Theory,Development of the Theory,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Needs Editing
9,Continental drift,Development of the Theory,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Needs Editing
10,"Floating continents, paleomagnetism, and seismicity zones",Development of the Theory,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Needs Editing
11,Mid-oceanic ridge spreading and convection,Development of the Theory,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Needs Editing
12,Magnetic striping,Development of the Theory,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Needs Editing
13,Defining plate boundaries,Plate reconstruction,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Needs Editing
14,Past plate motions,Plate reconstruction,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Needs Editing
15,Formation and break-up of continents,Plate reconstruction,http://en.wikipedia.org/wiki/Plate_tectonics,Jesus,Needs Editing
